# Claude Code Environment Variables Reference
# Format: KEY|CATEGORY|DESCRIPTION
# Categories: auth, model, routing, timeout, tui, mcp, security, telemetry, debug, cloud, other
# Lines starting with # are comments
ANTHROPIC_API_KEY|auth|API key sent as X-Api-Key header; overrides subscription
ANTHROPIC_AUTH_TOKEN|auth|Custom Authorization header value (prefixed with Bearer)
ANTHROPIC_AWS_API_KEY|auth|Workspace API key for Claude Platform on AWS
ANTHROPIC_AWS_BASE_URL|auth|Override Claude Platform on AWS endpoint URL
ANTHROPIC_AWS_WORKSPACE_ID|auth|Required for Claude Platform on AWS; sent as anthropic-workspace-id header
ANTHROPIC_BEDROCK_BASE_URL|auth|Override Bedrock endpoint URL
ANTHROPIC_BEDROCK_MANTLE_BASE_URL|auth|Override Bedrock Mantle endpoint URL
ANTHROPIC_BEDROCK_SERVICE_TIER|auth|Bedrock service tier: default, flex, or priority
ANTHROPIC_BASE_URL|routing|Override API endpoint for proxy/gateway routing
ANTHROPIC_BETAS|routing|Comma-separated anthropic-beta header values
ANTHROPIC_CUSTOM_HEADERS|routing|Custom request headers (Name: Value format, newline-separated)
ANTHROPIC_FOUNDRY_API_KEY|auth|API key for Microsoft Foundry authentication
ANTHROPIC_FOUNDRY_BASE_URL|auth|Full base URL for Foundry resource
ANTHROPIC_FOUNDRY_RESOURCE|auth|Foundry resource name
ANTHROPIC_MODEL|model|Model name to use (overrides settings model field)
ANTHROPIC_SMALL_FAST_MODEL|model|[DEPRECATED] Haiku-class model for background tasks
ANTHROPIC_SMALL_FAST_MODEL_AWS_REGION|model|Override AWS region for Haiku-class model on Bedrock
ANTHROPIC_VERTEX_BASE_URL|auth|Override Vertex AI endpoint URL
ANTHROPIC_VERTEX_PROJECT_ID|auth|GCP project ID for Vertex AI requests
ANTHROPIC_WORKSPACE_ID|auth|Workspace ID for workload identity federation
ANTHROPIC_DEFAULT_OPUS_MODEL|model|Opus-class model ID
ANTHROPIC_DEFAULT_OPUS_MODEL_NAME|model|Opus-class display name in model picker
ANTHROPIC_DEFAULT_OPUS_MODEL_DESCRIPTION|model|Opus-class description in model picker
ANTHROPIC_DEFAULT_OPUS_MODEL_SUPPORTED_CAPABILITIES|model|Opus-class supported capabilities
ANTHROPIC_DEFAULT_SONNET_MODEL|model|Sonnet-class model ID
ANTHROPIC_DEFAULT_SONNET_MODEL_NAME|model|Sonnet-class display name in model picker
ANTHROPIC_DEFAULT_SONNET_MODEL_DESCRIPTION|model|Sonnet-class description in model picker
ANTHROPIC_DEFAULT_SONNET_MODEL_SUPPORTED_CAPABILITIES|model|Sonnet-class supported capabilities
ANTHROPIC_DEFAULT_HAIKU_MODEL|model|Haiku-class model ID
ANTHROPIC_DEFAULT_HAIKU_MODEL_NAME|model|Haiku-class display name in model picker
ANTHROPIC_DEFAULT_HAIKU_MODEL_DESCRIPTION|model|Haiku-class description in model picker
ANTHROPIC_DEFAULT_HAIKU_MODEL_SUPPORTED_CAPABILITIES|model|Haiku-class supported capabilities
ANTHROPIC_CUSTOM_MODEL_OPTION|model|Custom model ID to add to /model picker
ANTHROPIC_CUSTOM_MODEL_OPTION_NAME|model|Display name for custom model entry
ANTHROPIC_CUSTOM_MODEL_OPTION_DESCRIPTION|model|Description for custom model entry
ANTHROPIC_CUSTOM_MODEL_OPTION_SUPPORTED_CAPABILITIES|model|Capabilities for custom model entry
AWS_BEARER_TOKEN_BEDROCK|auth|Bedrock API key for authentication
CLAUDE_CODE_USE_BEDROCK|routing|Use Amazon Bedrock as provider
CLAUDE_CODE_USE_MANTLE|routing|Use Bedrock Mantle endpoint
CLAUDE_CODE_USE_VERTEX|routing|Use Google Vertex AI as provider
CLAUDE_CODE_USE_FOUNDRY|routing|Use Microsoft Foundry as provider
CLAUDE_CODE_USE_ANTHROPIC_AWS|routing|Use Claude Platform on AWS
CLAUDE_CODE_PROVIDER_MANAGED_BY_HOST|routing|Set by host platforms managing provider routing
CLAUDE_CODE_PROXY_RESOLVES_HOSTS|routing|Allow proxy to perform DNS resolution
CLAUDE_CODE_SKIP_ANTHROPIC_AWS_AUTH|auth|Skip client-side auth for Claude Platform on AWS
CLAUDE_CODE_SKIP_BEDROCK_AUTH|auth|Skip AWS auth for Bedrock (LLM gateway)
CLAUDE_CODE_SKIP_FOUNDRY_AUTH|auth|Skip Azure auth for Foundry (LLM gateway)
CLAUDE_CODE_SKIP_MANTLE_AUTH|auth|Skip AWS auth for Mantle (LLM gateway)
CLAUDE_CODE_SKIP_VERTEX_AUTH|auth|Skip Google auth for Vertex (LLM gateway)
CLAUDE_CODE_CERT_STORE|other|CA certificate sources: bundled, system (default: bundled,system)
CLAUDE_CODE_CLIENT_CERT|other|Path to client certificate for mTLS
CLAUDE_CODE_CLIENT_KEY|other|Path to client private key for mTLS
CLAUDE_CODE_CLIENT_KEY_PASSPHRASE|other|Passphrase for encrypted client key
API_TIMEOUT_MS|timeout|API request timeout in ms (default 600000)
BASH_DEFAULT_TIMEOUT_MS|timeout|Default timeout for bash commands (default 120000)
BASH_MAX_TIMEOUT_MS|timeout|Maximum timeout model can set (default 600000)
BASH_MAX_OUTPUT_LENGTH|timeout|Max chars in bash output before truncation to file
CLAUDE_STREAM_IDLE_TIMEOUT_MS|timeout|Streaming idle watchdog timeout (default 300000)
MCP_TIMEOUT|timeout|MCP server startup timeout (default 30000)
MCP_CONNECT_TIMEOUT_MS|timeout|Blocking MCP startup connection wait (default 5000)
MCP_CONNECTION_NONBLOCKING|timeout|Wait for MCP servers before first query (default non-blocking)
MCP_TOOL_TIMEOUT|timeout|MCP tool execution timeout (default 100000000)
CLAUDE_ASYNC_AGENT_STALL_TIMEOUT_MS|timeout|Stall timeout for background subagents (default 600000)
CLAUDE_CODE_NO_FLICKER|tui|Enable fullscreen rendering to reduce flicker
CLAUDE_CODE_DISABLE_ALTERNATE_SCREEN|tui|Disable fullscreen; keep conversation in native scrollback
CLAUDE_CODE_DISABLE_MOUSE|tui|Disable mouse tracking in fullscreen
CLAUDE_CODE_DISABLE_VIRTUAL_SCROLL|tui|Disable virtual scrolling in fullscreen
CLAUDE_CODE_ALT_SCREEN_FULL_REPAINT|tui|Repaint entire screen every frame in fullscreen
CLAUDE_CODE_ACCESSIBILITY|tui|Keep native terminal cursor visible for screen magnifiers
CLAUDE_CODE_NATIVE_CURSOR|tui|Show terminal's own cursor at input caret
CLAUDE_CODE_SCROLL_SPEED|tui|Mouse wheel scroll multiplier (1-20, default matches vim at 3)
CLAUDE_CODE_SYNTAX_HIGHLIGHT|tui|Set false to disable syntax highlighting in diffs
CLAUDE_CODE_DISABLE_TERMINAL_TITLE|tui|Disable automatic terminal title updates
CLAUDE_CODE_TMUX_TRUECOLOR|tui|Allow 24-bit truecolor output inside tmux
CLAUDE_CODE_HIDE_CWD|tui|Hide working directory in startup logo
CLAUDE_CODE_FORCE_SYNC_OUTPUT|tui|Force synchronized output (DEC mode 2026)
CLAUDE_CODE_MAX_CONTEXT_TOKENS|model|Override context window size (only with DISABLE_COMPACT)
CLAUDE_CODE_MAX_OUTPUT_TOKENS|model|Set max output tokens for requests
CLAUDE_CODE_EFFORT_LEVEL|other|Set effort level: low, medium, high, xhigh, max, auto
CLAUDE_CODE_DISABLE_THINKING|model|Force-disable extended thinking
